"location_iso3","year","age","sex_id","vaccine","observed_coverage","disease","impact_factor","target_fvps","target_deaths_averted","old_pop","new_pop","target_coverage","observed_fvps","observed_deaths_averted","location_name","region","income_group"
"BGR",2020,0,3,"Rubella",0.88,"Rubella",0.000947578336716389,56669.55,53.6988379314662,64452,60935,0.93,53622.8,50.8118036340756,"Bulgaria","EURO","Upper middle income"
"BGR",2020,10,3,"HPV",0.04,"HPV",0.00745043831902893,1364.31012432034,10.1647084292754,73198,35057,0.0389169102980956,1402.28,10.4476006460079,"Bulgaria","EURO","Upper middle income"
"BGR",2021,0,3,"BCG",0.97,"TB",0.000117675076867301,56744.64,6.67742987380732,64173,59109,0.96,57335.73,6.74698643499282,"Bulgaria","EURO","Upper middle income"
"BGR",2021,0,3,"DTP3",0.89,"D",3.51947454906987e-05,54380.28,1.91390011431293,64173,59109,0.92,52607.01,1.85149032797664,"Bulgaria","EURO","Upper middle income"
"BGR",2021,0,3,"DTP3",0.89,"P",0.00110606300159477,54380.28,60.148015724364,64173,59109,0.92,52607.01,58.1866673855261,"Bulgaria","EURO","Upper middle income"
"BGR",2021,0,3,"DTP3",0.89,"T",0.000123570430819274,54380.28,6.71979462767275,64173,59109,0.92,52607.01,6.50067088981386,"Bulgaria","EURO","Upper middle income"
"BGR",2021,0,3,"HepB",0.89,"HepB",0.00834848123185546,50242.65,419.449820563683,64173,59109,0.85,52607.01,439.188635649033,"Bulgaria","EURO","Upper middle income"
"BGR",2021,0,3,"HepB_BD",0.97,"HepB",0.00447288982018029,56744.64,253.812522605795,64173,59109,0.96,57335.73,256.456403049606,"Bulgaria","EURO","Upper middle income"
"BGR",2021,0,3,"Hib3",0.89,"Hib",0.000276712177698102,54380.28,15.0476857026325,64173,59109,0.92,52607.01,14.5570002992858,"Bulgaria","EURO","Upper middle income"
"BGR",2021,0,3,"MCV1",0.89,"Measles",0.00492987951957736,54971.37,271.002231126109,64173,59109,0.93,52607.01,259.346221185201,"Bulgaria","EURO","Upper middle income"
"BGR",2021,0,3,"MCV2",0.86,"Measles",0.000792817698143755,51424.83,40.7705153480339,64173,59109,0.87,50833.74,40.3018887348381,"Bulgaria","EURO","Upper middle income"
"BGR",2021,0,3,"PCV3",0.86,"PCV",0.00032435534019813,52015.92,16.8716414273187,64173,59109,0.88,50833.74,16.4881950312433,"Bulgaria","EURO","Upper middle income"
"BGR",2021,0,3,"Rota",0.45,"Rota",7.33673491591133e-05,18323.79,1.34436789884827,64173,59109,0.31,26599.05,1.95150178865071,"Bulgaria","EURO","Upper middle income"
"BGR",2021,0,3,"Rubella",0.89,"Rubella",0.000947578336716389,54971.37,52.0896793516212,64173,59109,0.93,52607.01,49.8492630354224,"Bulgaria","EURO","Upper middle income"
"BGR",2021,10,3,"HPV",0.03,"HPV",0.00745043831902893,1280.14544788836,9.53764469887786,71011,32903,0.0389066482657616,987.09,7.35425316033027,"Bulgaria","EURO","Upper middle income"
"BHR",2019,0,3,"DTP3",0.99,"D",3.88872219717011e-05,20586.06,0.800534684742757,19638,20794,0.99,20586.06,0.800534684742757,"Bahrain","EMRO","High income"
"BHR",2019,0,3,"DTP3",0.99,"P",0.00122401043112386,20586.06,25.1975521757416,19638,20794,0.99,20586.06,25.1975521757416,"Bahrain","EMRO","High income"
"BHR",2019,0,3,"DTP3",0.99,"T",0.000135732612631537,20586.06,2.79419970758958,19638,20794,0.99,20586.06,2.79419970758958,"Bahrain","EMRO","High income"
"BHR",2019,0,3,"HepB",0.99,"HepB",0.0115916834106462,20586.06,238.627090192567,19638,20794,0.99,20586.06,238.627090192567,"Bahrain","EMRO","High income"
"BHR",2019,0,3,"HepB_BD",0.98,"HepB",0.0043808518639564,20378.12,89.2735249859272,19638,20794,0.98,20378.12,89.2735249859272,"Bahrain","EMRO","High income"
"BHR",2019,0,3,"Hib3",0.99,"Hib",0.000360885897967059,20586.06,7.42921874870376,19638,20794,0.99,20586.06,7.42921874870376,"Bahrain","EMRO","High income"
"BHR",2019,0,3,"MCV1",0.99,"Measles",0.00586896327337962,20586.06,120.818830083589,19638,20794,0.99,20586.06,120.818830083589,"Bahrain","EMRO","High income"
"BHR",2019,0,3,"MCV2",0.99,"Measles",0.00105229728552747,20586.06,21.6626550577056,19638,20794,0.99,20586.06,21.6626550577056,"Bahrain","EMRO","High income"
"BHR",2019,0,3,"PCV3",0.97,"PCV",0.000393874183141821,20170.18,7.94451317132349,19638,20794,0.97,20170.18,7.94451317132349,"Bahrain","EMRO","High income"
"BHR",2019,0,3,"Rota",0.99,"Rota",9.71984742134622e-05,20586.06,2.00093362206679,19638,20794,0.99,20586.06,2.00093362206679,"Bahrain","EMRO","High income"
"BHR",2019,0,3,"Rubella",0.99,"Rubella",0.00130316002725493,20586.06,26.8269305106716,19638,20794,0.99,20586.06,26.8269305106716,"Bahrain","EMRO","High income"
"BHR",2020,0,3,"DTP3",0.98,"D",3.88872219717011e-05,19863.36,0.772430889423809,19447,20064,0.99,19662.72,0.764628557207407,"Bahrain","EMRO","High income"
"BHR",2020,0,3,"DTP3",0.98,"P",0.00122401043112386,19863.36,24.3129598371684,19447,20064,0.99,19662.72,24.0673743842677,"Bahrain","EMRO","High income"
"BHR",2020,0,3,"DTP3",0.98,"T",0.000135732612631537,19863.36,2.69610574844077,19447,20064,0.99,19662.72,2.66887235704238,"Bahrain","EMRO","High income"
"BHR",2020,0,3,"HepB",0.98,"HepB",0.0115916834106462,19863.36,230.249780591693,19447,20064,0.99,19662.72,227.924025232181,"Bahrain","EMRO","High income"
"BHR",2020,0,3,"HepB_BD",0.99,"HepB",0.0043808518639564,19662.72,86.1394635624528,19447,20064,0.98,19863.36,87.018437680437,"Bahrain","EMRO","High income"
"BHR",2020,0,3,"Hib3",0.98,"Hib",0.000360885897967059,19863.36,7.16840651024296,19447,20064,0.99,19662.72,7.09599836367485,"Bahrain","EMRO","High income"
"BHR",2020,0,3,"MCV1",0.99,"Measles",0.00586896327337962,19863.36,116.577330325918,19447,20064,0.99,19863.36,116.577330325918,"Bahrain","EMRO","High income"
"BHR",2020,0,3,"MCV2",0.99,"Measles",0.00105229728552747,19863.36,20.9021598094549,19447,20064,0.99,19863.36,20.9021598094549,"Bahrain","EMRO","High income"
"BHR",2020,0,3,"PCV3",0.99,"PCV",0.000393874183141821,19462.08,7.66561086224077,19447,20064,0.97,19863.36,7.82366469445192,"Bahrain","EMRO","High income"
"BHR",2020,0,3,"Rota",0.98,"Rota",9.71984742134622e-05,19863.36,1.93068828475272,19447,20064,0.99,19662.72,1.91118638288653,"Bahrain","EMRO","High income"
"BHR",2020,0,3,"Rubella",0.99,"Rubella",0.00130316002725493,19863.36,25.8851367589745,19447,20064,0.99,19863.36,25.8851367589745,"Bahrain","EMRO","High income"
"BHR",2021,0,3,"DTP3",0.98,"D",3.88872219717011e-05,18136.8,0.705289767456349,20009,18320,0.99,17953.6,0.698165628391133,"Bahrain","EMRO","High income"
"BHR",2021,0,3,"DTP3",0.98,"P",0.00122401043112386,18136.8,22.1996323872072,20009,18320,0.99,17953.6,21.9753936762253,"Bahrain","EMRO","High income"
"BHR",2021,0,3,"DTP3",0.98,"T",0.000135732612631537,18136.8,2.46175524877566,20009,18320,0.99,17953.6,2.43688903414156,"Bahrain","EMRO","High income"
"BHR",2021,0,3,"HepB",0.98,"HepB",0.0115916834106462,18136.8,210.236043682208,20009,18320,0.99,17953.6,208.112447281378,"Bahrain","EMRO","High income"
"BHR",2021,0,3,"HepB_BD",0.99,"HepB",0.0043808518639564,17953.6,78.6520620247276,20009,18320,0.98,18136.8,79.4546340862044,"Bahrain","EMRO","High income"
"BHR",2021,0,3,"Hib3",0.98,"Hib",0.000360885897967059,18136.8,6.54531535424896,20009,18320,0.99,17953.6,6.47920105774139,"Bahrain","EMRO","High income"
"BHR",2021,0,3,"MCV1",0.99,"Measles",0.00586896327337962,18136.8,106.444213096631,20009,18320,0.99,18136.8,106.444213096631,"Bahrain","EMRO","High income"
"BHR",2021,0,3,"MCV2",0.99,"Measles",0.00105229728552747,18136.8,19.0853054081546,20009,18320,0.99,18136.8,19.0853054081546,"Bahrain","EMRO","High income"
"BHR",2021,0,3,"PCV3",0.99,"PCV",0.000393874183141821,17770.4,6.99930178410342,20009,18320,0.97,18136.8,7.14361728480658,"Bahrain","EMRO","High income"
"BHR",2021,0,3,"Rota",0.99,"Rota",9.71984742134622e-05,18136.8,1.76286928711472,20009,18320,0.99,18136.8,1.76286928711472,"Bahrain","EMRO","High income"
"BHR",2021,0,3,"Rubella",0.99,"Rubella",0.00130316002725493,18136.8,23.6351527823172,20009,18320,0.99,18136.8,23.6351527823172,"Bahrain","EMRO","High income"
"BHS",2019,0,3,"DTP3",0.89,"D",0.000177588103811155,3971.48,0.705287602523926,5787,4618,0.86,4110.02,0.729890658425923,"Bahamas","PAHO","High income"
"BHS",2019,0,3,"DTP3",0.89,"P",0.00343996789678511,3971.48,13.6617637027241,5787,4618,0.86,4110.02,14.1383368551447,"Bahamas","PAHO","High income"
"BHS",2019,0,3,"DTP3",0.89,"T",0.000368989938691064,3971.48,1.46543616171279,5787,4618,0.86,4110.02,1.51655602781905,"Bahamas","PAHO","High income"
"BHS",2019,0,3,"HepB",0.89,"HepB",0.0109479404860324,3971.48,43.479526681468,5787,4618,0.86,4110.02,44.9962543564029,"Bahamas","PAHO","High income"
"BHS",2019,0,3,"Hib3",0.89,"Hib",0.00034678104686934,3971.48,1.37723399202065,5787,4618,0.86,4110.02,1.42527703825393,"Bahamas","PAHO","High income"
"BHS",2019,0,3,"MCV1",0.83,"Measles",0.0053243309046937,3925.3,20.8995961001942,5787,4618,0.85,3832.94,20.4078408978367,"Bahamas","PAHO","High income"
"BHS",2019,0,3,"MCV2",0.83,"Measles",0.000854843890071604,3786.76,3.23708864916755,5787,4618,0.82,3832.94,3.27656534001105,"Bahamas","PAHO","High income"
"BHS",2019,0,3,"PCV3",0.89,"PCV",0.000313988862253945,3971.48,1.2470004866643,5787,4618,0.86,4110.02,1.29050050364096,"Bahamas","PAHO","High income"
"BHS",2019,0,3,"Rota",0.78,"Rota",8.24116507238287e-05,3602.04,0.29685006237326,5787,4618,0.78,3602.04,0.29685006237326,"Bahamas","PAHO","High income"
"BHS",2019,0,3,"Rubella",0.83,"Rubella",0.00225994230145766,3925.3,8.87095151591175,5787,4618,0.85,3832.94,8.66222324494912,"Bahamas","PAHO","High income"
"BHS",2019,9,3,"HPV",0.09,"HPV",0.0020375996460543,296.64,0.604433559005548,5920,3296,0.09,296.64,0.604433559005548,"Bahamas","PAHO","High income"
"BHS",2020,0,3,"DTP3",0.83,"D",0.000177588103811155,3958.58,0.702996715984762,5991,4603,0.86,3820.49,0.678473574729479,"Bahamas","PAHO","High income"
"BHS",2020,0,3,"DTP3",0.83,"P",0.00343996789678511,3958.58,13.6173881168556,5991,4603,0.86,3820.49,13.1423629499885,"Bahamas","PAHO","High income"
"BHS",2020,0,3,"DTP3",0.83,"T",0.000368989938691064,3958.58,1.46067619150367,5991,4603,0.86,3820.49,1.40972237086982,"Bahamas","PAHO","High income"
"BHS",2020,0,3,"HepB",0.83,"HepB",0.0109479404860324,3958.58,43.3382982491981,5991,4603,0.86,3820.49,41.8264971474819,"Bahamas","PAHO","High income"
"BHS",2020,0,3,"Hib3",0.83,"Hib",0.00034678104686934,3958.58,1.37276051651603,5991,4603,0.86,3820.49,1.32487352175384,"Bahamas","PAHO","High income"
"BHS",2020,0,3,"MCV1",0.87,"Measles",0.0053243309046937,3912.55,20.8317108811593,5991,4603,0.85,4004.61,21.3218687842454,"Bahamas","PAHO","High income"
"BHS",2020,0,3,"MCV2",0.83,"Measles",0.000854843890071604,3774.46,3.22657406931967,5991,4603,0.82,3820.49,3.26592253357966,"Bahamas","PAHO","High income"
"BHS",2020,0,3,"PCV3",0.83,"PCV",0.000313988862253945,3958.58,1.24295003034122,5991,4603,0.86,3820.49,1.19959130835257,"Bahamas","PAHO","High income"
"BHS",2020,0,3,"Rota",0.95,"Rota",8.24116507238287e-05,3590.34,0.295885846059791,5991,4603,0.78,4372.85,0.360373786867694,"Bahamas","PAHO","High income"
"BHS",2020,0,3,"Rubella",0.87,"Rubella",0.00225994230145766,3912.55,8.84213725156817,5991,4603,0.85,4004.61,9.05018753984036,"Bahamas","PAHO","High income"
"BHS",2020,11,3,"HPV",0.04,"HPV",0.0020375996460543,1171.83419344369,2.38772893779518,6162,3359,0.348864005193119,134.36,0.273771888443856,"Bahamas","PAHO","High income"
"BHS",2021,0,3,"DTP3",0.75,"D",0.000177588103811155,3980.08,0.706814860216702,5998,4628,0.86,3471,0.616408308328519,"Bahamas","PAHO","High income"
"BHS",2021,0,3,"DTP3",0.75,"P",0.00343996789678511,3980.08,13.6913474266365,5998,4628,0.86,3471,11.9401285697411,"Bahamas","PAHO","High income"
"BHS",2021,0,3,"DTP3",0.75,"T",0.000368989938691064,3980.08,1.46860947518553,5998,4628,0.86,3471,1.28076407719668,"Bahamas","PAHO","High income"
"BHS",2021,0,3,"HepB",0.75,"HepB",0.0109479404860324,3980.08,43.5736789696478,5998,4628,0.86,3471,38.0003014270185,"Bahamas","PAHO","High income"
"BHS",2021,0,3,"Hib3",0.75,"Hib",0.00034678104686934,3980.08,1.38021630902372,5998,4628,0.86,3471,1.20367701368348,"Bahamas","PAHO","High income"
"BHS",2021,0,3,"MCV1",0.82,"Measles",0.0053243309046937,3933.8,20.9448529128841,5998,4628,0.85,3794.96,20.2056228100764,"Bahamas","PAHO","High income"
"BHS",2021,0,3,"MCV2",0.82,"Measles",0.000854843890071604,3794.96,3.24409836906613,5998,4628,0.82,3794.96,3.24409836906613,"Bahamas","PAHO","High income"
"BHS",2021,0,3,"PCV3",0.82,"PCV",0.000313988862253945,3980.08,1.24970079087968,5998,4628,0.86,3794.96,1.19157517269923,"Bahamas","PAHO","High income"
"BHS",2021,0,3,"Rota",0.75,"Rota",8.24116507238287e-05,3609.84,0.297492873248906,5998,4628,0.78,3471,0.286050839662409,"Bahamas","PAHO","High income"
"BHS",2021,0,3,"Rubella",0.82,"Rubella",0.00225994230145766,3933.8,8.89016102547414,5998,4628,0.85,3794.96,8.57639063633976,"Bahamas","PAHO","High income"
"BHS",2021,11,3,"HPV",0,"HPV",0.0020375996460543,1141.20831353919,2.32532565574168,5894,3293,0.346555819477435,0,0,"Bahamas","PAHO","High income"
"BIH",2019,0,3,"BCG",0.95,"TB",5.48328032275775e-05,29722.65,1.62977621885216,24659,31287,0.95,29722.65,1.62977621885216,"Bosnia and Herzegovina","EURO","Upper middle income"
"BIH",2019,0,3,"DTP3",0.73,"D",2.00596161599431e-05,22839.51,0.458151803881182,24659,31287,0.73,22839.51,0.458151803881182,"Bosnia and Herzegovina","EURO","Upper middle income"
"BIH",2019,0,3,"DTP3",0.73,"P",0.000613537588592484,22839.51,14.0128978900339,24659,31287,0.73,22839.51,14.0128978900339,"Bosnia and Herzegovina","EURO","Upper middle income"
"BIH",2019,0,3,"DTP3",0.73,"T",8.23173294852061e-05,22839.51,1.88008746995066,24659,31287,0.73,22839.51,1.88008746995066,"Bosnia and Herzegovina","EURO","Upper middle income"
"BIH",2019,0,3,"HepB",0.8,"HepB",0.00501320185140292,25633.4391,128.505604353944,24659,31287,0.8193,25029.6,125.478437059875,"Bosnia and Herzegovina","EURO","Upper middle income"
"BIH",2019,0,3,"Hib3",0.62,"Hib",0.000120499847593343,19397.94,2.33744881362481,24659,31287,0.62,19397.94,2.33744881362481,"Bosnia and Herzegovina","EURO","Upper middle income"
"BIH",2019,0,3,"MCV1",0.68,"Measles",0.00565414814289623,21275.16,120.29290640382,24659,31287,0.68,21275.16,120.29290640382,"Bosnia and Herzegovina","EURO","Upper middle income"
"BIH",2019,0,3,"Rubella",0.68,"Rubella",0.000125764264484591,21275.16,2.67565484919199,24659,31287,0.68,21275.16,2.67565484919199,"Bosnia and Herzegovina","EURO","Upper middle income"
"BIH",2019,2,3,"MCV2",0.76,"Measles",0.000993086866639275,24686.89,24.5162262371684,27907,32300,0.7643,24548,24.3782964022609,"Bosnia and Herzegovina","EURO","Upper middle income"
"BIH",2020,0,3,"BCG",0.95,"TB",5.48328032275775e-05,28571.25,1.56664172921592,24778,30075,0.95,28571.25,1.56664172921592,"Bosnia and Herzegovina","EURO","Upper middle income"
"BIH",2020,0,3,"DTP3",0.73,"D",2.00596161599431e-05,21954.75,0.440403857887511,24778,30075,0.73,21954.75,0.440403857887511,"Bosnia and Herzegovina","EURO","Upper middle income"
"BIH",2020,0,3,"DTP3",0.73,"P",0.000613537588592484,21954.75,13.4700643731508,24778,30075,0.73,21954.75,13.4700643731508,"Bosnia and Herzegovina","EURO","Upper middle income"
"BIH",2020,0,3,"DTP3",0.73,"T",8.23173294852061e-05,21954.75,1.80725638951533,24778,30075,0.73,21954.75,1.80725638951533,"Bosnia and Herzegovina","EURO","Upper middle income"
"BIH",2020,0,3,"HepB",0.8,"HepB",0.00501320185140292,24640.4475,123.527537026396,24778,30075,0.8193,24060,120.617636544754,"Bosnia and Herzegovina","EURO","Upper middle income"
"BIH",2020,0,3,"Hib3",0.62,"Hib",0.000120499847593343,18646.5,2.24690040814927,24778,30075,0.62,18646.5,2.24690040814927,"Bosnia and Herzegovina","EURO","Upper middle income"
"BIH",2020,0,3,"MCV1",0.68,"Measles",0.00565414814289623,20451,115.632983670371,24778,30075,0.68,20451,115.632983670371,"Bosnia and Herzegovina","EURO","Upper middle income"
"BIH",2020,0,3,"Rubella",0.68,"Rubella",0.000125764264484591,20451,2.57200497297437,24778,30075,0.68,20451,2.57200497297437,"Bosnia and Herzegovina","EURO","Upper middle income"
"BIH",2020,2,3,"MCV2",0.76,"Measles",0.000993086866639275,24562.3091,24.3925065815443,26518,32137,0.7643,24424.12,24.2552728012216,"Bosnia and Herzegovina","EURO","Upper middle income"
"BIH",2021,0,3,"BCG",0.95,"TB",5.48328032275775e-05,27540.5,1.5101228172891,24754,28990,0.95,27540.5,1.5101228172891,"Bosnia and Herzegovina","EURO","Upper middle income"
"BIH",2021,0,3,"DTP3",0.73,"D",2.00596161599431e-05,21162.7,0.424515638908028,24754,28990,0.73,21162.7,0.424515638908028,"Bosnia and Herzegovina","EURO","Upper middle income"
"BIH",2021,0,3,"DTP3",0.73,"P",0.000613537588592484,21162.7,12.9841119261062,24754,28990,0.73,21162.7,12.9841119261062,"Bosnia and Herzegovina","EURO","Upper middle income"
"BIH",2021,0,3,"DTP3",0.73,"T",8.23173294852061e-05,21162.7,1.74205694869657,24754,28990,0.73,21162.7,1.74205694869657,"Bosnia and Herzegovina","EURO","Upper middle income"
"BIH",2021,0,3,"HepB",0.8,"HepB",0.00501320185140292,23751.507,119.071098866009,24754,28990,0.8193,23192,116.266177337737,"Bosnia and Herzegovina","EURO","Upper middle income"
"BIH",2021,0,3,"Hib3",0.62,"Hib",0.000120499847593343,17973.8,2.16584016067323,24754,28990,0.62,17973.8,2.16584016067323,"Bosnia and Herzegovina","EURO","Upper middle income"
"BIH",2021,0,3,"MCV1",0.68,"Measles",0.00565414814289623,19713.2,111.461353170542,24754,28990,0.68,19713.2,111.461353170542,"Bosnia and Herzegovina","EURO","Upper middle income"
"BIH",2021,0,3,"Rubella",0.68,"Rubella",0.000125764264484591,19713.2,2.47921609863764,24754,28990,0.68,19713.2,2.47921609863764,"Bosnia and Herzegovina","EURO","Upper middle income"
"BIH",2021,2,3,"MCV2",0.76,"Measles",0.000993086866639275,24379.6414,24.2111016877151,25519,31898,0.7643,24242.48,24.0748885027653,"Bosnia and Herzegovina","EURO","Upper middle income"
"BLR",2019,0,3,"BCG",0.97,"TB",5.7665986185894e-05,90578.6,5.22330429633762,93366,93380,0.97,90578.6,5.22330429633762,"Belarus","EURO","Upper middle income"
"BLR",2019,0,3,"DTP3",0.98,"D",1.9878148979154e-05,91512.4,1.81909712063993,93366,93380,0.98,91512.4,1.81909712063993,"Belarus","EURO","Upper middle income"
"BLR",2019,0,3,"DTP3",0.98,"P",0.000634863938957479,91512.4,58.0979227274524,93366,93380,0.98,91512.4,58.0979227274524,"Belarus","EURO","Upper middle income"
"BLR",2019,0,3,"DTP3",0.98,"T",8.22709832522799e-05,91512.4,7.52881512777594,93366,93380,0.98,91512.4,7.52881512777594,"Belarus","EURO","Upper middle income"
"BLR",2019,0,3,"HepB",0.97,"HepB",0.00462706079848471,91577.766,423.735891071406,93366,93380,0.9807,90578.6,419.112689241627,"Belarus","EURO","Upper middle income"
"BLR",2019,0,3,"HepB_BD",0.98,"HepB",0.00266548700572269,91512.4,243.925113062497,93366,93380,0.98,91512.4,243.925113062497,"Belarus","EURO","Upper middle income"
"BLR",2019,0,3,"Hib3",0.91,"Hib",0.00011599118269947,9571.45,1.11020380564884,93366,93380,0.1025,84975.8,9.85644354283362,"Belarus","EURO","Upper middle income"
"BLR",2019,0,3,"MCV1",0.98,"Measles",0.00510413623780867,90671.98,462.802138871863,93366,93380,0.971,91512.4,467.091757048842,"Belarus","EURO","Upper middle income"
"BLR",2019,0,3,"Rubella",0.98,"Rubella",0.000476986350946588,90671.98,43.249296873302,93366,93380,0.971,91512.4,43.6501657423645,"Belarus","EURO","Upper middle income"
"BLR",2019,2,3,"MCV2",0.98,"Measles",0.000700157968032714,111568.1,78.1152941932706,114628,113845,0.98,111568.1,78.1152941932706,"Belarus","EURO","Upper middle income"
"BLR",2020,0,3,"BCG",0.97,"TB",5.7665986185894e-05,88691.95,5.1145087635,90605,91435,0.97,88691.95,5.1145087635,"Belarus","EURO","Upper middle income"
"BLR",2020,0,3,"DTP3",0.97,"D",1.9878148979154e-05,89606.3,1.78120738087077,90605,91435,0.98,88691.95,1.76303179535168,"Belarus","EURO","Upper middle income"
"BLR",2020,0,3,"DTP3",0.97,"P",0.000634863938957479,89606.3,56.8878085734056,90605,91435,0.98,88691.95,56.3073207308198,"Belarus","EURO","Upper middle income"
"BLR",2020,0,3,"DTP3",0.97,"T",8.22709832522799e-05,89606.3,7.37199840659877,90605,91435,0.98,88691.95,7.29677393306205,"Belarus","EURO","Upper middle income"
"BLR",2020,0,3,"HepB",0.97,"HepB",0.00462706079848471,89670.3045,414.909950740137,90605,91435,0.9807,88691.95,410.383044986166,"Belarus","EURO","Upper middle income"
"BLR",2020,0,3,"HepB_BD",0.97,"HepB",0.00266548700572269,89606.3,238.844428280889,90605,91435,0.98,88691.95,236.407240237207,"Belarus","EURO","Upper middle income"
"BLR",2020,0,3,"Hib3",0.97,"Hib",0.00011599118269947,9372.0875,1.08707951348792,90605,91435,0.1025,88691.95,10.2874841764223,"Belarus","EURO","Upper middle income"
"BLR",2020,0,3,"MCV1",0.97,"Measles",0.00510413623780867,88783.385,453.162492693819,90605,91435,0.971,88691.95,452.695795996915,"Belarus","EURO","Upper middle income"
"BLR",2020,0,3,"Rubella",0.97,"Rubella",0.000476986350946588,88783.385,42.348462835836,90605,91435,0.971,88691.95,42.3048495888372,"Belarus","EURO","Upper middle income"
"BLR",2020,2,3,"MCV2",0.98,"Measles",0.000700157968032714,98155.82,68.7245794817848,112704,100159,0.98,98155.82,68.7245794817848,"Belarus","EURO","Upper middle income"
"BLR",2020,11,3,"HPV",0,"HPV",0.00390039955160078,15648.9127669159,61.0370123391186,99891,53562,0.292164459260594,0,0,"Belarus","EURO","Upper middle income"
"BLR",2021,0,3,"BCG",0.98,"TB",5.7665986185894e-05,86825.67,5.00688788680099,91670,89511,0.97,87720.78,5.05850528769585,"Belarus","EURO","Upper middle income"
"BLR",2021,0,3,"DTP3",0.98,"D",1.9878148979154e-05,87720.78,1.74372673340759,91670,89511,0.98,87720.78,1.74372673340759,"Belarus","EURO","Upper middle income"
"BLR",2021,0,3,"DTP3",0.98,"P",0.000634863938957479,87720.78,55.6907599192225,91670,89511,0.98,87720.78,55.6907599192224,"Belarus","EURO","Upper middle income"
"BLR",2021,0,3,"DTP3",0.98,"T",8.22709832522799e-05,87720.78,7.21687482225693,91670,89511,0.98,87720.78,7.21687482225693,"Belarus","EURO","Upper middle income"
"BLR",2021,0,3,"HepB",0.98,"HepB",0.00462706079848471,87783.4377,406.179303337895,91670,89511,0.9807,87720.78,405.889382350502,"Belarus","EURO","Upper middle income"
"BLR",2021,0,3,"HepB_BD",0.98,"HepB",0.00266548700572269,87720.78,233.818599221859,91670,89511,0.98,87720.78,233.818599221859,"Belarus","EURO","Upper middle income"
"BLR",2021,0,3,"Hib3",0.98,"Hib",0.00011599118269947,9174.8775,1.06420489234776,91670,89511,0.1025,87720.78,10.17483701952,"Belarus","EURO","Upper middle income"
"BLR",2021,0,3,"MCV1",0.98,"Measles",0.00510413623780867,86915.181,443.6269249578,91670,89511,0.971,87720.78,447.738812006842,"Belarus","EURO","Upper middle income"
"BLR",2021,0,3,"Rubella",0.98,"Rubella",0.000476986350946588,86915.181,41.4573550270522,91670,89511,0.971,87720.78,41.8416147543884,"Belarus","EURO","Upper middle income"
"BLR",2021,2,3,"MCV2",0.98,"Measles",0.000700157968032714,90106.1,63.0885038833525,104209,91945,0.98,90106.1,63.0885038833525,"Belarus","EURO","Upper middle income"
"BLR",2021,11,3,"HPV",0,"HPV",0.00390039955160078,18437.6123441847,71.9140549198472,106745,55854,0.330103705091573,0,0,"Belarus","EURO","Upper middle income"
"BLZ",2019,0,3,"BCG",0.95,"TB",0.000316221952854639,7555.35,2.3891675315003,7891,7953,0.95,7555.35,2.3891675315003,"Belize","PAHO","Upper middle income"
"BLZ",2019,0,3,"DTP3",0.98,"D",9.34737756490189e-05,7793.94,0.728528998981914,7891,7953,0.98,7793.94,0.728528998981914,"Belize","PAHO","Upper middle income"
"BLZ",2019,0,3,"DTP3",0.98,"P",0.0022709286283755,7793.94,17.6994814738409,7891,7953,0.98,7793.94,17.6994814738409,"Belize","PAHO","Upper middle income"
"BLZ",2019,0,3,"DTP3",0.98,"T",0.000305347498164884,7793.94,2.37986007984722,7891,7953,0.98,7793.94,2.37986007984722,"Belize","PAHO","Upper middle income"
"BLZ",2019,0,3,"HepB",0.98,"HepB",0.000424105375189544,7634.88,3.23799364692715,7891,7953,0.96,7793.94,3.30545184790479,"Belize","PAHO","Upper middle income"
"BLZ",2019,0,3,"HepB_BD",0.7,"HepB",0.00034173301185328,4695.4512,1.6045906805861,7891,7953,0.5904,5567.1,1.90246185028839,"Belize","PAHO","Upper middle income"
"BLZ",2019,0,3,"Hib3",0.98,"Hib",0.000597966213309176,7634.88,4.56540028266996,7891,7953,0.96,7793.94,4.66051278855892,"Belize","PAHO","Upper middle income"
"BLZ",2019,0,3,"MCV1",0.96,"Measles",0.0118233121409527,7714.41,91.2098774132869,7891,7953,0.97,7634.88,90.269569398717,"Belize","PAHO","Upper middle income"
"BLZ",2019,0,3,"Rubella",0.96,"Rubella",0.000259597269896028,7714.41,2.00263977485862,7891,7953,0.97,7634.88,1.98199400398379,"Belize","PAHO","Upper middle income"
"BLZ",2019,2,3,"MCV2",0.95,"Measles",0.000976885042915767,7087.7556,6.92392243348247,7857,7764,0.9129,7375.8,7.20530869953811,"Belize","PAHO","Upper middle income"
"BLZ",2019,9,3,"HPV",0.63,"HPV",0.0147151105271558,1225.53230577684,18.0338433341063,7582,3668,0.334114587180164,2310.84,34.0042660105727,"Belize","PAHO","Upper middle income"
"BLZ",2020,0,3,"BCG",0.76,"TB",0.000316221952854639,6914.1,2.18639020423226,7877,7278,0.95,5531.28,1.74911216338581,"Belize","PAHO","Upper middle income"
"BLZ",2020,0,3,"DTP3",0.79,"D",9.34737756490189e-05,7132.44,0.666696096390088,7877,7278,0.98,5749.62,0.537438689947112,"Belize","PAHO","Upper middle income"
"BLZ",2020,0,3,"DTP3",0.79,"P",0.0022709286283755,7132.44,16.1972621861705,7877,7278,0.98,5749.62,13.0569766602803,"Belize","PAHO","Upper middle income"
